Date,Gas production cumulative,Oil production cumulative,Water production cumulative
1998-01-01,0,0,0
1998-01-02,14759.72852,15169.2998,0
1998-01-05,59038.91406,60677.19922,0
1998-01-14,191876.4688,197200.9063,0
1998-02-10,590389.125,606772,0
1998-04-01,1328375.625,1365237,0
1998-05-21,2054510.875,2111522,0
1998-07-10,2780786.25,2857951,0
1998-08-29,3507700,3605036,0
1998-10-18,4234278,4351776,0
1998-11-24,4778722.5,4911328.5,0
1999-01-01,5323167,5470881,0
1999-02-20,6052528,6220481,0
1999-04-11,6780054.5,6968196,0
1999-05-31,7500245,7708371,0
1999-07-20,8225297,8453543,0
1999-09-08,8958282,9206868,0
1999-10-28,9692437,9961394,0
1999-11-29,10170284,10452502,0
2000-01-01,10648132,10943609,0
2000-02-20,11372234,11687804,0
2000-04-10,12097839,12433545,0
2000-05-30,12830294,13186325,0
2000-07-19,13560325,13936614,0
2000-09-07,14286047,14682474,0
2000-10-27,15014690,15431337,0
2000-11-29,15497375,15927416,0
2001-01-01,15980060,16423495,0
2001-02-20,16704070,17167594,0
2001-04-11,17429864,17913530,0
2001-05-31,18162800,18666804,0
2001-07-20,18890580,19414778,0
2001-09-08,19609942,20154104,0.571184993
2001-10-28,20335564,20899860,3.29292345
2001-11-29,20810682,21388162,6.02463007
2002-01-01,21285802,21876466,9.751677513
2002-02-20,22009630,22620380,17.35628891
2002-04-11,22735784,23366684,27.22176743
2002-05-31,23471236,24122544,39.19039917
2002-07-20,24206240,24877944,57.47249603
2002-09-08,24940514,25632594,86.51420593
2002-10-28,25671548,26383912,133.0305176
2002-11-29,26144924,26870424,170.1141968
2003-01-01,26618300,27356936,215.2748718
2003-02-20,27358568,28117746,319.9926453
2003-04-11,28096748,28876412,466.5820313
2003-05-31,28826582,29626496,653.8327637
2003-07-20,29554332,30374442,884.9098511
2003-09-08,30278688,31118898,1157.836792
2003-10-28,31002782,31863086,1483.96167
2003-11-29,31473300,32346660,1752.262939
2004-01-01,31943818,32830234,2096.061279
2004-02-20,32675950,33582684,2776.047607
2004-04-10,33406498,34333500,3610.785889
2004-05-30,34129812,35076888,4574.907715
2004-07-19,34855192,35822396,5661.789063
2004-09-07,35584252,36571688,6879.480957
2004-10-27,36311200,37318808,8286.459961
2004-11-29,36789704,37810588,9291.459961
2005-01-01,37268204,38302368,10379.47852
2005-02-20,38003260,39057824,12178.72266
2005-04-11,38737716,39812660,14187.72559
2005-05-31,39469768,40565024,16396.06641
2005-07-20,40201624,41317188,18885.80859
2005-09-08,40933168,42069028,21725.45313
2005-10-28,41661452,42817524,24908.85742
2005-11-29,42133036,43302192,27125.56055
